127.0.0.1 - - [24/Sep/2019:18:26:43 -0400] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:26:45 -0400] "GET /p1/subir.jsp HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:27:10 -0400] "POST /p1/uploadServlet HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:32:48 -0400] "GET /Shop-Only-Wear-SOW-/p1/ HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:32:48 -0400] "GET /Shop-Only-Wear-SOW-/p1/ HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:33:23 -0400] "GET /Shop-Only-Wear-SOW-/p1/WebContent/index.jsp HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:33:23 -0400] "GET /Shop-Only-Wear-SOW-/p1/WebContent/index.jsp HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:17 -0400] "GET /Shop-Only-Wear-SOW-/p1/WebContent/subir.jsp HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:17 -0400] "GET /Shop-Only-Wear-SOW-/p1/WebContent/subir.jsp HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:55 -0400] "GET /Shop-Only-Wear-SOW-/p1/WebContent/index.jsp HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:56 -0400] "GET /Shop-Only-Wear-SOW-/p1/ HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:57 -0400] "GET /Shop-Only-Wear-SOW-/Conection HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:34:57 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:00 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:01 -0400] "POST /Shop-Only-Wear-SOW-/Conection HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:01 -0400] "GET /Shop-Only-Wear-SOW-/Conection HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:10 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:11 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/shopping-bag.svg HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/magnifying-glass.svg HTTP/1.1" 404 1129
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/js/jquery-3.2.1.min.js HTTP/1.1" 404 1124
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/OwlCarousel2-2.2.1/owl.carousel.js HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/styles/bootstrap4/popper.js HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/styles/bootstrap4/bootstrap.min.js HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/easing/easing.js HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/parallax-js-master/parallax.min.js HTTP/1.1" 404 1148
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/colorbox/jquery.colorbox-min.js HTTP/1.1" 404 1145
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/js/custom.js HTTP/1.1" 404 1114
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/star.svg HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/avatar.svg HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/arrow_r.png HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/promo_1.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/promo_3.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/promo_2.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/product_1.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/shopping-bag-white.svg HTTP/1.1" 404 1131
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/product_2.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/product_3.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_2.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_1.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_3.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_4.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_6.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery_5.jpg HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/testimonials.jpg HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/extra_1.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/extra_2.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/gallery.jpg HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/images/newsletter.jpg HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/fonts/lucida_bright_regular.ttf HTTP/1.1" 404 1133
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1168
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/fonts/beyond_the_mountains.otf HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/fonts/lucida_bright_demi.ttf HTTP/1.1" 404 1130
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 1167
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/fonts/beyond_the_mountains.ttf HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:13 -0400] "GET /Shop-Only-Wear-SOW-/plugins/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 1166
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:16 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:17 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:17 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:17 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:26 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:26 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:28 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:28 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:44 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:44 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:45 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:46 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:58 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:58 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:58 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:35:59 -0400] "GET /Shop-Only-Wear-SOW-/index2.html HTTP/1.1" 404 1109
